"STNDR_DAYHMINSEC","MSNT_GPS_LAT","MSNT_GPS_LONG","CCTV_LOCA_EXPLN","PM25_CTRN_MM3","PM10_CTRN_MM3","NO2_CTRN_PPM","O3_CTRN_PPM","CO_CTRN_PPM","SO2_CTRN_PPM","RRGMNT_WGS84_LAT","RRGMNT_WGS84_LONG","RRGMNT_UTMK_Y_CRDNT","RRGMNT_UTMK_X_CRDNT","RRGMNT_1ST_TLLBADD","RRGMNT_2ND_TLLBADD","RRGMNT_3RD_TLLBADD"
"20251106001902","35.182542","128.125233","남강제지 앞","5.0","8.0","0.013","0.02","0.884","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106000902","35.182542","128.125233","남강제지 앞","5.0","8.0","0.013","0.02","0.84","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106000702","35.182542","128.125233","남강제지 앞","5.0","8.0","0.014","0.02","0.757","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106010002","35.182542","128.125233","남강제지 앞","5.0","8.0","0.012","0.02","1.218","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106000502","35.182542","128.125233","남강제지 앞","5.0","8.0","0.014","0.02","0.682","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106004902","35.182542","128.125233","남강제지 앞","5.0","8.0","0.013","0.02","1.274","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106001503","35.182542","128.125233","남강제지 앞","5.0","8.0","0.012","0.02","0.839","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106000601","35.182542","128.125233","남강제지 앞","5.0","8.0","0.014","0.02","0.71","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106000003","35.182542","128.125233","남강제지 앞","5.0","8.0","0.01","0.02","1.696","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106000302","35.182542","128.125233","남강제지 앞","5.0","8.0","0.014","0.02","0.681","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
